°C,V
-40,2.439
-39,2.435
-38,2.431
-37,2.426
-36,2.422
-35,2.417
-34,2.412
-33,2.406
-32,2.4
-31,2.394
-30,2.388
-29,2.381
-28,2.374
-27,2.367
-26,2.359
-25,2.351
-24,2.343
-23,2.334
-22,2.325
-21,2.315
-20,2.305
-19,2.294
-18,2.283
-17,2.272
-16,2.26
-15,2.248
-14,2.235
-13,2.222
-12,2.208
-11,2.193
-10,2.179
-9,2.163
-8,2.147
-7,2.131
-6,2.114
-5,2.097
-4,2.079
-3,2.061
-2,2.042
-1,2.022
0,2.002
1,1.982
2,1.961
3,1.94
4,1.918
5,1.896
6,1.873
7,1.85
8,1.826
9,1.803
10,1.778
11,1.754
12,1.729
13,1.704
14,1.678
15,1.652
16,1.626
17,1.6
18,1.574
19,1.547
20,1.52
21,1.493
22,1.467
23,1.44
24,1.413
25,1.386
26,1.359
27,1.332
28,1.305
29,1.278
30,1.252
31,1.225
32,1.199
33,1.173
34,1.147
35,1.122
36,1.096
37,1.071
38,1.046
39,1.022
40,0.998
41,0.974
42,0.95
43,0.927
44,0.904
45,0.882
46,0.859
47,0.838
48,0.816
49,0.795
50,0.775
51,0.755
52,0.735
53,0.716
54,0.697
55,0.678
56,0.66
57,0.643
58,0.625
59,0.608
60,0.592
61,0.576
62,0.56
63,0.545
64,0.53
65,0.515
66,0.501
67,0.487
68,0.474
69,0.461
70,0.448
71,0.436
72,0.424
73,0.412
74,0.4
75,0.389
76,0.378
77,0.368
78,0.358
79,0.348
80,0.338
81,0.329
82,0.32
83,0.311
84,0.302
85,0.294
86,0.286
87,0.278
88,0.27
89,0.263
90,0.256
91,0.249
92,0.242
93,0.235
94,0.229
95,0.223
96,0.217
97,0.211
98,0.205
99,0.199
100,0.194
101,0.189
102,0.184
103,0.179
104,0.174
105,0.17
106,0.165
107,0.161
108,0.156
109,0.152
110,0.148
111,0.144
112,0.141
113,0.137
114,0.134
115,0.13
116,0.127
117,0.124
118,0.12
119,0.117
120,0.114
121,0.111
122,0.109
123,0.106
124,0.103
125,0.101
126,0.098
127,0.096
128,0.093
129,0.091
130,0.089
131,0.087
132,0.085
133,0.083
134,0.081
135,0.079
136,0.077
137,0.075
138,0.073
139,0.071
140,0.07
141,0.068
142,0.066
143,0.065
144,0.063
145,0.062
146,0.06
147,0.059
148,0.058
149,0.056
150,0.055
151,0.054
152,0.053
153,0.051
154,0.05
155,0.049
156,0.048
157,0.047
158,0.046
159,0.045
160,0.044
161,0.043
162,0.042
163,0.041
164,0.04
165,0.039
166,0.039
167,0.038
168,0.037
169,0.036
170,0.035
171,0.035
172,0.034
173,0.033
174,0.033
175,0.032
176,0.031
177,0.031
178,0.03
179,0.029
180,0.029
